text,label
". I would formally like to make a complaint about the lack of sensitivity we have experienced. As well as an inability to pick up on signs of agitation from a patient by the night shift nurse. Not only has he repeatedly spoken to my grandma like she if an incoherent 5 year old but his meditative practice way of speaking comes across as demeaning and has according to my grandmother made her angry and uncomfortable. I'm also concerned about her Catheter bag full of urine that's been full for going on three hours now and no one has even came in to check it. There is an overall air of pompousness in this hospital, for example a respiratory therapist making a remark that anything to do with the nurses is beneath her and her pay grade. That is highly unprofessional, this isn't a fast food joint this is a prominent health establishment and should be handled as such. Similar behavior was exhibited by doctors here today to other members of the family towards the doctor that sent us here from another hospital this morning. Those comments should never be in front of a patient or patients family and they all were. The day time nurses for the most part were fairly decent though several showed examples of this same ideology and behaviors that we all overheard In the waiting room next to my grandma's room. it would be beneficial for future patients if the staff here were educated on proper communication styles to better connect with their patients. This night shift nurse Matt is not answering all the questions I am asking on my grandmothers behalf and that's a problem as I've expressed my concern about her recieving meds that she isn't supposed to have anymore and he utterly just brushed me off. I will be requesting with the lead nurse in the morning for him to no longer be allowed to take care of my grandma. It's also been all day long and we still have yet to see her physician or hear from him face to face which should be standard procedure, especially considering she was brought in due to having had a heart attack earlier in the day. The overall feeling was that of dismissal and a lack of caring. I imagine we aren't the only ones who've suffered this treatment, which is now the second time we've been here and dealt with this, since It happened last time we were here also. You're CNA staff is wonderful I hope they are on their way to becoming nurses themselves to replace the arrogant ones currently working here. They've shown more compassion than any other 'class' of workers you have on your payroll thus far. This is a huge disappointment and it's scary for a worried family member to feel comfortable leaving a loved one in the care of people that act like this. I will be advocating very strongly against anyone coming to your facility, as I'm sure you can see on your reviews the majority is one star and I'm sure the only reason you even got one from others as with myself is because there were no negative stars to give.",0
"A lot of people complained about stupid stuff, these people saved my life, and when I was recovering they were incredibly patient and persistent in making sure I was comfortable. I owe them so much",4
"A month before the pandemic hit, I took my partner to this hospital to seek treatment for a respiratory infection (a cold, not Covid-19). My partner had a longstanding spinal cord injury and needed to be in a hospital whenever she got a cold or flu so that she could receive respiratory therapy treatments. She was in good health except for the respiratory infection. But she was experiencing a surging wave of clinical depression and anxiety brought about by her having been fired by her pulmonology doctors in Eugene. Depression had plagued my partner since childhood - since before the spinal cord injury. She was considered by her pulmonologists to be a ""non-compliant patient"" and they refused to treat her anymore if she came to one of the hospitals in Eugene. As a result, she was in the process of suing them. So we came to Good Samaritan, thinking we could escape from the horrors of her situation in Eugene. Shockingly, this hospital has a ""Patient Care Services"" team that roams the hospital in search of depressed, vulnerable patients and repeatedly tries to sell them a peaceful, comfortable transition to the hereafter. They are the closest thing to pure evil I have ever encountered. Offering euthanasia to people who are not gravely or terminally ill but who are clinically depressed is an unspeakable act. If you have a loved one who suffers from a brain disease with suicidal ideation as a known symptom, such as clinical depression, bipolar disorder, an anxiety disorder, a delusion disorder, a psychotic disorder or a personality disorder, do not take them to this hospital! Your loved one may be repeatedly approached by the ""Patient Care Services"" team and take them up on their sales pitch for peace and comfort, at which point the doctors and nurses will go on a death care plan in which family members who do not go along with the death program are harassed and threatened. They do not want their patient to be talked out of death, as that would disrupt the death program. My partner was euthanized by the ghouls in this hospital. I was unable to stop it. Medical professionals should strive to cure disease processes such as brain disorders and treat the symptoms of these disorders. They should not collude with symptoms such as suicidal ideation and end up taking innocent lives in the process. I suggest going to a hospital that is affiliated with the Catholic Health Association of the United States. In theory at least, these hospitals should have less of an inclination to push death on their patients. The Providence hospitals in Portland are examples of this sort of institution. PeaceHealth Riverbend hospital in Springfield is also Catholic affiliated, but I strongly don't recommend going there. They have a MAJOR problem with their charge nurses, critical care doctors and ethics board.",0
"A real and definite lack of professionalism surrounds the staff. Granted, hospitals aren’t known for being places of enjoyment, the team should consider ways to improve their general attitude towards their guests. The nurses showed little enthusiasm and offered less than sufficient care.",1
Absolutely terrible. In obvious unbearable pain and absolutely wasted my time going here. The hospital staff must of thought I was lying or there for pain killers. ( Doesn't help having long hair and tats) (&) ( Two College Degrees) and stuck me in a room that looked like a delivery room. The room smelt like truck tire and didn't have any medical equipment. Staff wasn't friendly or helpful in any way. They probably put a dishwasher in uniform to come talk to me.,0
"after coming here more than 20 times for needing to be stitched up for self harm related issues, they stitched me up but kept mumbling things under their breath like ""why do they keep bring her in?? telling me that i ""was mad at myself so that's the reason i did this to myself,"" ""you never learn new strategies."" being rude in stressful situations is one thing they are very good at. DO NOT GO HERE!",1
"After comming home from an ER visit in corvallis, and then spending all night in pain, I had to go down to the Universities urgent care to get a proper diagnosis and the oposite perscription from the samaratin ER",1
Always have a horrible experience with nurses and other staff members. They don't like that i add input into my medical treatment and they like to communicate loudly and passively for the clients to here. Horrible hospital horrible staff,0
Apparently the woman with burns on her legs so bad they are blistering and she is bawling in pain is not a freaking emergency to this er,1
At first it was a great experience then towards the end they just left me to the side and they were incredibly slow and uncaring towards my ailments. next time ill drive to albany.,3
